issn,journal,impact_factor,jcr_quartile,cas_partition
,International Journal for Educational and Vocational Guidance,1.7,Q2,4区
1833-2595,International Journal for Educational Integrity,6.9,Q1,2区
,International Journal for Educational Integrity,6.9,Q1,2区
1475-9276,International Journal for Equity in Health,,,2区
,International Journal for Equity in Health,4.1,Q1,2区
2666-6529,"International Journal for History, Culture and Modernity",<0.1,Q4,4区
,"International Journal for History, Culture and Modernity",<0.1,Q4,4区
2046-8253,International Journal for Lesson and Learning Studies,,,4区
,International Journal for Lesson and Learning Studies,,,4区
1543-1649,International Journal for Multiscale Computational Engineering,1.4,Q3,4区
,International Journal for Multiscale Computational Engineering,1.4,Q3,4区
0363-9061,INTERNATIONAL JOURNAL FOR NUMERICAL AND ANALYTICAL METHODS IN GEOMECHANICS,3.6,Q1,2区
,INTERNATIONAL JOURNAL FOR NUMERICAL AND ANALYTICAL METHODS IN GEOMECHANICS,3.6,Q1,2区
2040-7939,International Journal for Numerical Methods in Biomedical Engineering,2.4,Q2,4区
,International Journal for Numerical Methods in Biomedical Engineering,2.4,Q2,4区
0029-5981,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,2.9,Q1,3区
,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,2.9,Q1,3区
0271-2091,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS,1.8,Q2,3区
,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS,1.8,Q2,3区
2211-3207,International Journal for Parasitology-Drugs and Drug Resistance,3.4,Q1,2区
,International Journal for Parasitology-Drugs and Drug Resistance,3.4,Q1,2区
2213-2244,International Journal for Parasitology-Parasites and Wildlife,2.2,Q2,3区
,International Journal for Parasitology-Parasites and Wildlife,2.2,Q2,3区
0020-7519,INTERNATIONAL JOURNAL FOR PARASITOLOGY,3.2,Q1,2区
,INTERNATIONAL JOURNAL FOR PARASITOLOGY,3.2,Q1,2区
0020-7047,INTERNATIONAL JOURNAL FOR PHILOSOPHY OF RELIGION,,,3区
,INTERNATIONAL JOURNAL FOR PHILOSOPHY OF RELIGION,,,3区
1353-4505,INTERNATIONAL JOURNAL FOR QUALITY IN HEALTH CARE,2.2,Q2,4区
,INTERNATIONAL JOURNAL FOR QUALITY IN HEALTH CARE,2.2,Q2,4区
1800-6450,International Journal for Quality Research,1,Q4,4区
,International Journal for Quality Research,1,Q4,4区
2197-8638,International Journal for Research in Vocational Education and Training-IJRVET,1.7,Q2,4区
,International Journal for Research in Vocational Education and Training-IJRVET,1.7,Q2,4区
1744-2710,International Journal for Technology in Mathematics Education,0.4,Q4,4区
,International Journal for Technology in Mathematics Education,0.4,Q4,4区
0165-0653,INTERNATIONAL JOURNAL FOR THE ADVANCEMENT OF COUNSELLING,1.1,Q4,4区
,INTERNATIONAL JOURNAL FOR THE ADVANCEMENT OF COUNSELLING,1.1,Q4,4区
1758-1206,International Journal for the History of Engineering & Technology,0.2,Q4,4区
,International Journal for the History of Engineering & Technology,0.2,Q4,4区
1050-8619,International Journal for the Psychology of Religion,1.5,Q3,3区
,International Journal for the Psychology of Religion,1.5,Q3,3区
0952-8059,INTERNATIONAL JOURNAL FOR THE SEMIOTICS OF LAW-REVUE INTERNATIONALE DE SEMIOTIQUE JURIDIQUE,0.9,Q3,3区
,INTERNATIONAL JOURNAL FOR THE SEMIOTICS OF LAW-REVUE INTERNATIONALE DE SEMIOTIQUE JURIDIQUE,0.9,Q3,3区
2210-5697,International Journal for the Study of Skepticism,0.1,,4区
,International Journal for the Study of Skepticism,0.1,,4区
1474-225X,International Journal for the Study of the Christian Church,0.2,,3区
,International Journal for the Study of the Christian Church,0.2,,3区
2152-5080,International Journal for Uncertainty Quantification,1.8,Q2,4区
,International Journal for Uncertainty Quantification,1.8,Q2,4区
0300-9831,INTERNATIONAL JOURNAL FOR VITAMIN AND NUTRITION RESEARCH,2.5,Q3,4区
,INTERNATIONAL JOURNAL FOR VITAMIN AND NUTRITION RESEARCH,2.5,Q3,4区
2589-8736,International Journal of Abdominal Wall and Hernia Surgery,,,4区
,International Journal of Abdominal Wall and Hernia Surgery,,,4区
2455-5568,International Journal of Academic Medicine,,,4区
,International Journal of Academic Medicine,0.2,Q4,4区
0164-7954,INTERNATIONAL JOURNAL OF ACAROLOGY,1,Q3,3区
,INTERNATIONAL JOURNAL OF ACAROLOGY,1,Q3,3区
1834-7649,International Journal of Accounting and Information Management,4.9,Q1,3区
,International Journal of Accounting and Information Management,4.9,Q1,3区
1467-0895,International Journal of Accounting Information Systems,6,Q1,2区
,International Journal of Accounting Information Systems,6,Q1,2区
1094-4060,International Journal of Accounting,1.8,Q3,4区
,International Journal of Accounting,1.8,Q3,4区
1027-5851,International Journal of Acoustics and Vibration,,,4区
,International Journal of Acoustics and Vibration,,,4区
1743-8225,International Journal of Ad Hoc and Ubiquitous Computing,,,4区
,International Journal of Ad Hoc and Ubiquitous Computing,,,4区
0890-6327,INTERNATIONAL JOURNAL OF ADAPTIVE CONTROL AND SIGNAL PROCESSING,3.8,Q2,4区
,INTERNATIONAL JOURNAL OF ADAPTIVE CONTROL AND SIGNAL PROCESSING,3.8,Q2,4区
0143-7496,INTERNATIONAL JOURNAL OF ADHESION AND ADHESIVES,3.5,Q2,3区
,INTERNATIONAL JOURNAL OF ADHESION AND ADHESIVES,3.5,Q2,3区
0267-3843,International Journal of Adolescence and Youth,2.2,Q2,3区
,International Journal of Adolescence and Youth,2.2,Q2,3区
2643-7996,International Journal of Adult Education and Technology-IJAET,0.5,Q4,4区
,International Journal of Adult Education and Technology-IJAET,0.5,Q4,4区
2313-626X,International Journal of Advanced and Applied Sciences,0.5,Q4,4区
,International Journal of Advanced and Applied Sciences,0.5,Q4,4区
2158-107X,International Journal of Advanced Computer Science and Applications,,,4区
,International Journal of Advanced Computer Science and Applications,,,4区
0268-3768,INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,3.1,Q2,3区
,INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,3.1,Q2,3区
1729-8814,International Journal of Advanced Robotic Systems,2.1,Q3,4区
,International Journal of Advanced Robotic Systems,2.1,Q3,4区
0975-0770,International Journal of Advances in Engineering Sciences and Applied Mathematics,,,4区
,International Journal of Advances in Engineering Sciences and Applied Mathematics,,,4区
0265-0487,International Journal of Advertising,5.9,Q1,3区
,International Journal of Advertising,5.9,Q1,3区
1475-472X,International Journal of Aeroacoustics,1.3,Q3,4区
,International Journal of Aeroacoustics,1.3,Q3,4区
2093-274X,International Journal of Aeronautical and Space Sciences,1.4,Q3,4区
,International Journal of Aeronautical and Space Sciences,1.4,Q3,4区
1687-5966,International Journal of Aerospace Engineering,1.2,Q3,4区
,International Journal of Aerospace Engineering,1.2,Q3,4区
2472-1832,International Journal of AEROSPACE Psychology,1.4,Q3,4区
,International Journal of AEROSPACE Psychology,1.4,Q3,4区
2187-5413,International Journal of Affective Engineering,,,4区
,International Journal of Affective Engineering,,,4区
0361-7882,INTERNATIONAL JOURNAL OF AFRICAN HISTORICAL STUDIES,0.2,Q2,3区
,INTERNATIONAL JOURNAL OF AFRICAN HISTORICAL STUDIES,0.2,Q2,3区
1818-6874,International Journal of African Renaissance Studies,0.4,Q3,4区
,International Journal of African Renaissance Studies,0.4,Q3,4区
0091-4150,INTERNATIONAL JOURNAL OF AGING & HUMAN DEVELOPMENT,1.8,Q3,4区
,INTERNATIONAL JOURNAL OF AGING & HUMAN DEVELOPMENT,1.8,Q3,4区
1934-6344,International Journal of Agricultural and Biological Engineering,2.2,Q2,3区
,International Journal of Agricultural and Biological Engineering,2.2,Q2,3区
1947-3192,International Journal of Agricultural and Environmental Information Systems,0.4,Q4,4区
,International Journal of Agricultural and Environmental Information Systems,0.4,Q4,4区
0973-1903,International Journal of Agricultural and Statistical Sciences,0.1,Q4,4区
,International Journal of Agricultural and Statistical Sciences,0.1,Q4,4区
1473-5903,International Journal of Agricultural Sustainability,2.9,Q1,2区
,International Journal of Agricultural Sustainability,2.9,Q1,2区
2452-5731,International Journal of Agriculture and Natural Resources,0.5,Q4,4区
,International Journal of Agriculture and Natural Resources,0.5,Q4,4区
1687-8159,International Journal of Agronomy,1.5,Q3,4区
,International Journal of Agronomy,1.5,Q3,4区
2010-1325,International Journal of Air-Conditioning and Refrigeration,1.5,Q3,4区
,International Journal of Air-Conditioning and Refrigeration,1.5,Q3,4区
1925-7066,International Journal of Alcohol and Drug Research,0.9,Q4,4区
,International Journal of Alcohol and Drug Research,0.9,Q4,4区
0218-1967,INTERNATIONAL JOURNAL OF ALGEBRA AND COMPUTATION,0.5,Q3,4区
,INTERNATIONAL JOURNAL OF ALGEBRA AND COMPUTATION,0.5,Q3,4区
0020-7071,INTERNATIONAL JOURNAL OF AMERICAN LINGUISTICS,0.2,Q4,4区
,INTERNATIONAL JOURNAL OF AMERICAN LINGUISTICS,0.2,Q4,4区
2291-8639,International Journal of Analysis and Applications,,,4区
,International Journal of Analysis and Applications,,,4区
1687-8760,International Journal of Analytical Chemistry,1.7,Q3,4区
,International Journal of Analytical Chemistry,1.7,Q3,4区
1061-1711,International Journal of Angiology,,,4区
,International Journal of Angiology,,,4区
1687-5869,International Journal of Antennas and Propagation,1.1,Q4,4区
,International Journal of Antennas and Propagation,1.1,Q4,4区
0924-8579,International Journal of Antimicrobial Agents,4.6,Q1,2区
,International Journal of Antimicrobial Agents,4.6,Q1,2区
2229-516X,International Journal of Applied and Basic Medical Research,,,4区
,International Journal of Applied and Basic Medical Research,,,4区
2160-9802,International Journal of Applied Behavioral Economics,0.4,Q4,4区
,International Journal of Applied Behavioral Economics,0.4,Q4,4区
1546-542X,International Journal of Applied Ceramic Technology,2.3,Q2,4区
,International Journal of Applied Ceramic Technology,2.3,Q2,4区
1569-8432,International Journal of Applied Earth Observation and Geoinformation,8.6,Q1,1区
,International Journal of Applied Earth Observation and Geoinformation,8.6,Q1,1区
1383-5416,INTERNATIONAL JOURNAL OF APPLIED ELECTROMAGNETICS AND MECHANICS,,,4区
,INTERNATIONAL JOURNAL OF APPLIED ELECTROMAGNETICS AND MECHANICS,,,4区
1947-9654,International Journal of Applied Geospatial Research,0.3,Q4,4区
,International Journal of Applied Geospatial Research,0.3,Q4,4区
2041-1286,International Journal of Applied Glass Science,2.5,Q2,4区
,International Journal of Applied Glass Science,2.5,Q2,4区
0802-6106,International Journal of Applied Linguistics,1.7,Q1,3区
,International Journal of Applied Linguistics,1.7,Q1,3区
1755-8913,International Journal of Applied Management Science,0.5,Q4,4区
,International Journal of Applied Management Science,0.5,Q4,4区
0973-1377,International Journal of Applied Mathematics & Statistics,0.3,Q4,4区
,International Journal of Applied Mathematics & Statistics,0.3,Q4,4区
1641-876X,International Journal of Applied Mathematics and Computer Science,1.2,Q2,4区
,International Journal of Applied Mathematics and Computer Science,1.2,Q2,4区
1758-8251,International Journal of Applied Mechanics,2.6,Q2,3区
,International Journal of Applied Mechanics,2.6,Q2,3区
1947-8283,International Journal of Applied Metaheuristic Computing,,,4区
,International Journal of Applied Metaheuristic Computing,,,4区
1752-2862,International Journal of Applied Nonlinear Science,0.4,Q4,4区
,International Journal of Applied Nonlinear Science,0.4,Q4,4区
2049-887X,International Journal of Applied Pattern Recognition,,,4区
,International Journal of Applied Pattern Recognition,,,4区
1742-3341,International Journal of Applied Psychoanalytic Studies,0.4,Q2,4区
,International Journal of Applied Psychoanalytic Studies,0.4,Q2,4区
0888-613X,INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,3,Q2,3区
,INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,3,Q2,3区
1478-0771,International Journal of Architectural Computing,2.1,,4区
,International Journal of Architectural Computing,2.1,,4区
1558-3058,International Journal of Architectural Heritage,2.4,Q2,3区
,International Journal of Architectural Heritage,2.4,Q2,3区
1476-8062,INTERNATIONAL JOURNAL OF ART & DESIGN EDUCATION,1.2,Q2,4区
,INTERNATIONAL JOURNAL OF ART & DESIGN EDUCATION,1.2,Q2,4区
1745-4832,International Journal of Art Therapy,1.5,Q2,2区
,International Journal of Art Therapy,1.5,Q2,2区
1560-4292,International Journal of Artificial Intelligence in Education,8.5,Q1,2区
,International Journal of Artificial Intelligence in Education,8.5,Q1,2区
0391-3988,INTERNATIONAL JOURNAL OF ARTIFICIAL ORGANS,1.3,Q3,4区
,INTERNATIONAL JOURNAL OF ARTIFICIAL ORGANS,1.3,Q3,4区
1754-8853,International Journal of Arts and Technology,1,Q4,4区
,International Journal of Arts and Technology,1,Q4,4区
1480-8986,International Journal of Arts Management,,,4区
,International Journal of Arts Management,,,4区
1823-6243,International Journal of Asia Pacific Studies,0.4,Q3,3区
,International Journal of Asia Pacific Studies,0.4,Q3,3区
1947-9638,International Journal of Asian Business and Information Management,1.1,Q4,4区
,International Journal of Asian Business and Information Management,1.1,Q4,4区
1479-5914,International Journal of Asian Studies,,,4区
,International Journal of Asian Studies,,,4区
2148-7456,International Journal of Assessment Tools in Education,1.1,Q3,4区
,International Journal of Assessment Tools in Education,1.1,Q3,4区
1473-5504,International Journal of Astrobiology,1,Q3,4区
,International Journal of Astrobiology,1,Q3,4区
2157-7277,International Journal of Athletic Therapy & Training,0.4,Q4,4区
,International Journal of Athletic Therapy & Training,0.4,Q4,4区
1499-2027,INTERNATIONAL JOURNAL OF AUDIOLOGY,1.9,Q2,4区
,INTERNATIONAL JOURNAL OF AUDIOLOGY,1.9,Q2,4区
1090-6738,INTERNATIONAL JOURNAL OF AUDITING,1.4,Q3,3区
,INTERNATIONAL JOURNAL OF AUDITING,1.4,Q3,3区
1740-7516,International Journal of Automation and Control,1.8,Q3,4区
,International Journal of Automation and Control,1.8,Q3,4区
1881-7629,International Journal of Automation Technology,,,4区
,International Journal of Automation Technology,,,4区
2229-8649,International Journal of Automotive And Mechanical Engineering,,,4区
,International Journal of Automotive And Mechanical Engineering,,,4区
1229-9138,INTERNATIONAL JOURNAL OF AUTOMOTIVE TECHNOLOGY,1.5,Q3,4区
,INTERNATIONAL JOURNAL OF AUTOMOTIVE TECHNOLOGY,1.5,Q3,4区
1754-8632,International Journal of Autonomous and Adaptive Communications Systems,0.3,Q4,4区
,International Journal of Autonomous and Adaptive Communications Systems,0.3,Q4,4区
2374-6793,International Journal of Aviation Aeronautics and Aerospace,,,4区
,International Journal of Aviation Aeronautics and Aerospace,,,4区
0976-5921,International Journal of Ayurvedic Medicine,0.1,Q4,4区
,International Journal of Ayurvedic Medicine,0.1,Q4,4区
0265-2323,International Journal of Bank Marketing,6.9,Q1,2区
,International Journal of Bank Marketing,6.9,Q1,2区
0165-0254,INTERNATIONAL JOURNAL OF BEHAVIORAL DEVELOPMENT,2.7,Q2,3区
,INTERNATIONAL JOURNAL OF BEHAVIORAL DEVELOPMENT,2.7,Q2,3区
1070-5503,INTERNATIONAL JOURNAL OF BEHAVIORAL MEDICINE,1.7,Q3,3区
,INTERNATIONAL JOURNAL OF BEHAVIORAL MEDICINE,1.7,Q3,3区
1479-5868,International Journal of Behavioral Nutrition and Physical Activity,,,1区
,International Journal of Behavioral Nutrition and Physical Activity,5.5,Q1,1区
0218-1274,INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS,2.3,Q2,4区
,INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS,2.3,Q2,4区
1367-0050,International Journal of Bilingual Education and Bilingualism,2.5,Q1,2区
,International Journal of Bilingual Education and Bilingualism,2.5,Q1,2区
1367-0069,International Journal of Bilingualism,1.5,Q2,2区
,International Journal of Bilingualism,1.5,Q2,2区
1758-0366,International Journal of Bio-Inspired Computation,2,Q2,4区
,International Journal of Bio-Inspired Computation,2,Q2,4区
1357-2725,INTERNATIONAL JOURNAL OF BIOCHEMISTRY & CELL BIOLOGY,2.8,Q3,3区
,INTERNATIONAL JOURNAL OF BIOCHEMISTRY & CELL BIOLOGY,2.8,Q3,3区
0141-8130,International Journal of Biological Macromolecules,8.5,Q1,2区
,International Journal of Biological Macromolecules,8.5,Q1,2区
0393-6155,INTERNATIONAL JOURNAL OF BIOLOGICAL MARKERS,2,Q3,4区
,INTERNATIONAL JOURNAL OF BIOLOGICAL MARKERS,2,Q3,4区
1449-2288,International Journal of Biological Sciences,10,Q1,1区
,International Journal of Biological Sciences,10,Q1,1区
2218-7979,International Journal of Biology and Chemistry,,,4区
,International Journal of Biology and Chemistry,,,4区
1687-8787,International Journal of Biomaterials,4.5,Q2,4区
,International Journal of Biomaterials,4.5,Q2,4区
1793-5245,International Journal of Biomathematics,2,Q3,2区
,International Journal of Biomathematics,2,Q3,2区
1752-6418,International Journal of Biomedical Engineering and Technology,0.6,Q4,4区
,International Journal of Biomedical Engineering and Technology,0.6,Q4,4区
1687-4188,International Journal of Biomedical Imaging,1.3,Q4,4区
,International Journal of Biomedical Imaging,1.3,Q4,4区
2158-0510,International Journal of Biomedicine,0.2,Q4,4区
,International Journal of Biomedicine,0.2,Q4,4区
0020-7128,INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,2.6,Q2,3区
,INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,2.6,Q2,3区
1755-8301,International Journal of Biometrics,,,4区
,International Journal of Biometrics,,,4区
2424-7723,International Journal of Bioprinting,6,Q1,2区
,International Journal of Bioprinting,6,Q1,2区
2194-573X,International Journal of Biostatistics,1.2,Q2,4区
,International Journal of Biostatistics,1.2,Q2,4区
2194-7511,International Journal of Bipolar Disorders,3.5,Q1,3区
,International Journal of Bipolar Disorders,3.5,Q1,3区
2090-3170,International Journal of Breast Cancer,3,Q2,4区
,International Journal of Breast Cancer,3,Q2,4区
2241-7443,International Journal of Bridge Engineering,0.2,Q4,4区
,International Journal of Bridge Engineering,0.2,Q4,4区
1598-7914,International Journal of Buddhist Thought & Culture,0.1,,3区
,International Journal of Buddhist Thought & Culture,0.1,,3区
2398-4708,International Journal of Building Pathology and Adaptation,2.1,Q2,4区
,International Journal of Building Pathology and Adaptation,2.1,Q2,4区
1511-1369,International Journal of Built Environment and Sustainability,0.6,Q4,4区
,International Journal of Built Environment and Sustainability,0.6,Q4,4区
2160-2026,International Journal of Burns and Trauma,1,Q3,4区
,International Journal of Burns and Trauma,1,Q3,4区
2334-4547,International Journal of Business Analytics,,,4区
,International Journal of Business Analytics,,,4区
1511-6670,International Journal of Business and Society,,,4区
,International Journal of Business and Society,,,4区
2329-4884,International Journal of Business Communication,3.1,Q1,3区
,International Journal of Business Communication,3.1,Q1,3区
1548-0631,International Journal of Business Data Communications and Networking,<0.1,Q4,4区
,International Journal of Business Data Communications and Networking,<0.1,Q4,4区
1740-0589,International Journal of Business Environment,1,Q4,4区
,International Journal of Business Environment,1,Q4,4区
1368-4892,International Journal of Business Performance Management,,,4区
,International Journal of Business Performance Management,,,4区
1083-4346,International Journal of Business,0.6,Q4,4区
,International Journal of Business,0.6,Q4,4区
2538-4422,International Journal of Cancer Management,0.5,Q4,4区
,International Journal of Cancer Management,0.5,Q4,4区
0020-7136,INTERNATIONAL JOURNAL OF CANCER,4.7,Q1,2区
,INTERNATIONAL JOURNAL OF CANCER,4.7,Q1,2区
2772-4875,International Journal of Cardiology Cardiovascular Risk and Prevention,2.1,Q3,4区
,International Journal of Cardiology Cardiovascular Risk and Prevention,2.1,Q3,4区
2666-6685,International Journal of Cardiology Congenital Heart Disease,1.2,Q4,4区
,International Journal of Cardiology Congenital Heart Disease,1.2,Q4,4区
0167-5273,International Journal of Cardiology,3.2,Q2,2区
,International Journal of Cardiology,3.2,Q2,2区
1569-5794,INTERNATIONAL JOURNAL OF CARDIOVASCULAR IMAGING,1.5,Q3,4区
,INTERNATIONAL JOURNAL OF CARDIOVASCULAR IMAGING,1.5,Q3,4区
2397-8821,International Journal of Care and Caring,1.2,Q2,4区
,International Journal of Care and Caring,1.2,Q2,4区
2053-4345,International Journal of Care Coordination,1.2,Q3,4区
,International Journal of Care Coordination,1.2,Q3,4区
2372-9333,International Journal of Cartography,,,4区
,International Journal of Cartography,,,4区
1364-0461,INTERNATIONAL JOURNAL OF CAST METALS RESEARCH,1.1,Q3,4区
,INTERNATIONAL JOURNAL OF CAST METALS RESEARCH,1.1,Q3,4区
1815-4654,International Journal of Central Banking,1.5,Q3,4区
,International Journal of Central Banking,1.5,Q3,4区
1687-806X,International Journal of Chemical Engineering,2.4,Q3,4区
,International Journal of Chemical Engineering,2.4,Q3,4区
0538-8066,INTERNATIONAL JOURNAL OF CHEMICAL KINETICS,1.6,Q4,4区
,INTERNATIONAL JOURNAL OF CHEMICAL KINETICS,1.6,Q4,4区
2194-5748,International Journal of Chemical Reactor Engineering,1.4,Q3,4区
,International Journal of Chemical Reactor Engineering,1.4,Q3,4区
1976-5681,International Journal of Child Care and Education Policy,1.8,Q2,4区
,International Journal of Child Care and Education Policy,1.8,Q2,4区
1929-4247,International Journal of Child Health and Nutrition,0.1,Q4,4区
,International Journal of Child Health and Nutrition,0.1,Q4,4区
1920-7298,International Journal of Child Youth & Family Studies,0.4,Q4,4区
,International Journal of Child Youth & Family Studies,0.4,Q4,4区
2156-5287,International Journal of Childbirth,0.4,Q4,4区
,International Journal of Childbirth,0.4,Q4,4区
0927-5568,International Journal of Childrens Rights,1,Q2,4区
,International Journal of Childrens Rights,1,Q2,4区
1364-436X,International Journal of Childrens Spirituality,,,2区
,International Journal of Childrens Spirituality,,,2区
1386-6354,International Journal of Chinese & Comparative Philosophy of Medicine,0.1,Q4,4区
,International Journal of Chinese & Comparative Philosophy of Medicine,0.1,Q4,4区
2213-8706,International Journal of Chinese Linguistics,0.1,,4区
,International Journal of Chinese Linguistics,0.1,,4区
2056-9971,International Journal of Christianity & Education,0.4,,4区
,International Journal of Christianity & Education,0.4,,4区
1178-2005,International Journal of Chronic Obstructive Pulmonary Disease,3.1,Q2,3区
,International Journal of Chronic Obstructive Pulmonary Disease,3.1,Q2,3区
0098-9886,INTERNATIONAL JOURNAL OF CIRCUIT THEORY AND APPLICATIONS,1.6,Q3,3区
,INTERNATIONAL JOURNAL OF CIRCUIT THEORY AND APPLICATIONS,1.6,Q3,3区
1239-9736,International Journal of Circumpolar Health,1.9,Q3,4区
,International Journal of Circumpolar Health,1.9,Q3,4区
1735-0522,International Journal of Civil Engineering,2,Q3,4区
,International Journal of Civil Engineering,2,Q3,4区
1756-8692,International Journal of Climate Change Strategies and Management,3.5,Q2,3区
,International Journal of Climate Change Strategies and Management,3.5,Q2,3区
0899-8418,INTERNATIONAL JOURNAL OF CLIMATOLOGY,2.8,Q3,3区
,INTERNATIONAL JOURNAL OF CLIMATOLOGY,2.8,Q3,3区
0020-7144,INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL HYPNOSIS,2.4,Q2,4区
,INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL HYPNOSIS,2.4,Q2,4区
1940-5901,International Journal of Clinical and Experimental Medicine,0.3,Q4,4区
,International Journal of Clinical and Experimental Medicine,0.3,Q4,4区
1936-2625,International Journal of Clinical and Experimental Pathology,0.9,Q4,4区
,International Journal of Clinical and Experimental Pathology,0.9,Q4,4区
1697-2600,International Journal of Clinical and Health Psychology,4.4,Q1,2区
,International Journal of Clinical and Health Psychology,4.4,Q1,2区
1341-9625,International Journal of Clinical Oncology,2.8,Q2,3区
,International Journal of Clinical Oncology,2.8,Q2,3区
0946-1965,INTERNATIONAL JOURNAL OF CLINICAL PHARMACOLOGY AND THERAPEUTICS,,,4区
,INTERNATIONAL JOURNAL OF CLINICAL PHARMACOLOGY AND THERAPEUTICS,,,4区
2210-7703,International Journal of Clinical Pharmacy,3.2,Q2,3区
,International Journal of Clinical Pharmacy,3.2,Q2,3区
1368-5031,INTERNATIONAL JOURNAL OF CLINICAL PRACTICE,2.4,Q1,4区
,INTERNATIONAL JOURNAL OF CLINICAL PRACTICE,2.4,Q1,4区
0955-6222,International Journal of Clothing Science and Technology,1.3,Q3,4区
,International Journal of Clothing Science and Technology,1.3,Q3,4区
0166-5162,INTERNATIONAL JOURNAL OF COAL GEOLOGY,5.7,Q1,2区
,INTERNATIONAL JOURNAL OF COAL GEOLOGY,5.7,Q1,2区
1939-2699,International Journal of Coal Preparation and Utilization,2.1,Q2,4区
,International Journal of Coal Preparation and Utilization,2.1,Q2,4区
2095-8293,International Journal of Coal Science & Technology,8.7,Q1,1区
,International Journal of Coal Science & Technology,8.7,Q1,1区
1557-3958,International Journal of Cognitive Informatics and Natural Intelligence,1,Q4,4区
,International Journal of Cognitive Informatics and Natural Intelligence,1,Q4,4区
2334-847X,International Journal of Cognitive Research in Science Engineering and Education-IJCRSEE,,,4区
,International Journal of Cognitive Research in Science Engineering and Education-IJCRSEE,,,4区
1937-1209,International Journal of Cognitive Therapy,1.4,Q3,4区
,International Journal of Cognitive Therapy,1.4,Q3,4区
0179-1958,INTERNATIONAL JOURNAL OF COLORECTAL DISEASE,2.3,Q2,3区
,INTERNATIONAL JOURNAL OF COLORECTAL DISEASE,2.3,Q2,3区
2007-1558,International Journal of Combinatorial Optimization Problems and Informatics,0.3,Q4,4区
,International Journal of Combinatorial Optimization Problems and Informatics,0.3,Q4,4区
1754-3916,International Journal of Communication Networks and Distributed Systems,1,Q4,4区
,International Journal of Communication Networks and Distributed Systems,1,Q4,4区
1074-5351,INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS,1.8,Q3,4区
,INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS,1.8,Q3,4区
1932-8036,International Journal of Communication,1.5,Q2,2区
,International Journal of Communication,1.5,Q2,2区
1752-6299,International Journal of Community Music,0.4,,1区
,International Journal of Community Music,0.4,,1区
0192-4036,International Journal of Comparative and Applied Criminal Justice,1.4,Q2,4区
,International Journal of Comparative and Applied Criminal Justice,1.4,Q2,4区
2396-7404,International Journal of Comparative Education and Development,1.4,Q2,4区
,International Journal of Comparative Education and Development,1.4,Q2,4区
0952-617X,International Journal of Comparative Labour Law and Industrial Relations,1,Q3,4区
,International Journal of Comparative Labour Law and Industrial Relations,1,Q3,4区
0020-7152,INTERNATIONAL JOURNAL OF COMPARATIVE SOCIOLOGY,1.5,Q2,2区
,INTERNATIONAL JOURNAL OF COMPARATIVE SOCIOLOGY,1.5,Q2,2区
1757-1170,International Journal of Computational Economics and Econometrics,0.3,Q4,4区
,International Journal of Computational Economics and Econometrics,0.3,Q4,4区
1061-8562,INTERNATIONAL JOURNAL OF COMPUTATIONAL FLUID DYNAMICS,1.3,Q3,4区
,INTERNATIONAL JOURNAL OF COMPUTATIONAL FLUID DYNAMICS,1.3,Q3,4区
1469-0268,International Journal of Computational Intelligence and Applications,1.3,Q4,4区
,International Journal of Computational Intelligence and Applications,1.3,Q4,4区
1875-6891,International Journal of Computational Intelligence Systems,3,Q2,4区
,International Journal of Computational Intelligence Systems,3,Q2,4区
2047-6841,International Journal of Computational Materials Science and Engineering,1.2,Q4,4区
,International Journal of Computational Materials Science and Engineering,1.2,Q4,4区
0219-8762,International Journal of Computational Methods,1.6,Q2,4区
,International Journal of Computational Methods,1.6,Q2,4区
1742-7185,International Journal of Computational Science and Engineering,1.2,Q4,4区
,International Journal of Computational Science and Engineering,1.2,Q4,4区
0952-8091,INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS IN TECHNOLOGY,0.6,Q4,4区
,INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS IN TECHNOLOGY,0.6,Q4,4区
1861-6410,International Journal of Computer Assisted Radiology and Surgery,2.3,Q2,4区
,International Journal of Computer Assisted Radiology and Surgery,2.3,Q2,4区
1687-7047,International Journal of Computer Games Technology,1.1,Q4,4区
,International Journal of Computer Games Technology,1.1,Q4,4区
0951-192X,INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,4,Q2,3区
